app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
975370,0,0,12/12/2022,TRUE,36.3,51580,0
304390,4,0,2/17/2017,FALSE,11.5,2586,1
1085660,2,0,11/17/2019,TRUE,336.5,253880,2
703080,0,0,9/23/2022,TRUE,27.4,259432,3
526870,0,0,1/10/2021,TRUE,7.9,23869,4
306130,0,0,10/10/2021,TRUE,8.6,45425,5
238960,0,0,11/25/2017,TRUE,538.8,88282,6
730,0,0,11/30/2021,FALSE,157.5,63209,7
255710,0,0,5/21/2021,TRUE,18.7,354512,8
289070,0,0,5/26/2020,TRUE,397.5,454422,9
431960,0,0,10/14/2020,TRUE,30.3,199725,10
1086940,0,0,10/7/2020,TRUE,50,85822,11
1938090,0,0,11/16/2022,TRUE,46.7,161081,12
1286830,2,0,7/26/2020,TRUE,19.3,113279,13
1172620,0,0,11/4/2020,TRUE,89.1,122640,14
306130,0,0,5/12/2021,TRUE,61.1,75422,15
635260,0,0,1/30/2022,TRUE,177,76583,16
1151340,0,0,7/1/2020,TRUE,86.3,124924,17
289070,0,0,5/29/2020,TRUE,244.1,261528,18
392160,3,0,12/26/2018,FALSE,320.5,408750,19
570,0,0,3/8/2021,TRUE,850.9,533127,20
1938090,0,0,11/23/2022,TRUE,7.4,664486,21
534380,0,0,10/8/2022,TRUE,40.6,22793,22
518790,0,0,12/31/2022,TRUE,10,271318,23
236850,23,4,3/20/2021,TRUE,5.7,118252,24
1172470,2,0,5/4/2021,TRUE,235.1,375629,25
304390,2,0,3/23/2017,FALSE,180.6,397000,26
42700,6,2,10/19/2019,FALSE,5.9,433335,27
1091500,0,0,2/1/2021,TRUE,108.8,474485,28
291550,0,0,5/17/2021,FALSE,2.7,641971,29
1332010,0,0,11/24/2022,TRUE,8.5,735574,30
629730,0,0,2/10/2021,TRUE,40.3,747452,31
438100,0,0,9/10/2020,TRUE,8.1,912612,32
294100,0,0,2/19/2022,TRUE,367.1,1151457,33
1145360,0,0,3/15/2021,TRUE,36.3,234421,34
431960,0,0,11/13/2020,TRUE,11,246427,35
1794680,0,0,11/23/2022,TRUE,55.8,337740,36
275850,0,0,7/20/2020,TRUE,124.2,461815,37
284160,0,0,1/26/2020,TRUE,197.4,477434,38
244850,0,0,5/29/2014,TRUE,99,500848,39
1222140,0,0,12/2/2022,TRUE,16,709818,40
359550,0,0,11/21/2021,TRUE,166.6,763450,41
1938090,0,0,11/23/2022,TRUE,98.7,903527,42
233860,0,0,12/22/2020,TRUE,23.2,925679,43
252490,0,0,4/22/2020,TRUE,0.4,1148682,44
431960,2,0,12/29/2018,TRUE,119.3,1169883,45
394360,0,0,7/11/2020,FALSE,0.3,911433,46
294100,2,0,8/27/2022,TRUE,878,979929,47
1248130,0,0,7/18/2022,TRUE,19.2,1093813,48
218620,2,0,12/6/2015,TRUE,708.6,141761,49
376210,0,0,5/7/2022,TRUE,502.3,216021,50
730,0,0,11/19/2021,TRUE,21.4,461080,51
289070,0,0,2/13/2021,TRUE,84.6,632038,52
526870,0,0,11/27/2020,TRUE,10.7,1288761,53
1229490,0,0,10/9/2022,TRUE,102.7,1335369,54
578080,0,0,2/21/2018,TRUE,893,1389501,55
1248130,0,0,4/23/2022,TRUE,27.2,1601711,56
394360,0,0,7/1/2019,TRUE,224.1,638930,57
602960,0,0,1/5/2022,TRUE,41.9,737481,58
1817190,0,0,12/23/2022,TRUE,39.7,836746,59
381210,0,0,6/14/2022,TRUE,223.4,901543,60
431960,0,0,9/2/2021,TRUE,934.1,1166406,61
275850,0,0,11/25/2022,TRUE,93,1176751,62
1222670,0,0,2/25/2021,TRUE,47.4,1213181,63
1361210,0,0,11/30/2022,TRUE,57.8,1271931,64
252490,0,0,1/3/2022,FALSE,53.4,1443719,65
1850570,0,0,12/12/2022,TRUE,1.1,1540121,66
976730,0,0,11/25/2021,FALSE,21.1,1637069,67
1172620,0,0,12/11/2021,TRUE,513.7,1638898,68
1332010,0,0,7/23/2022,TRUE,5.9,358168,69
1250410,0,0,8/18/2020,FALSE,33.5,531793,70
730,2,0,9/24/2015,TRUE,337.8,623661,71
1419170,3,0,7/12/2021,TRUE,6.4,666837,72
1817070,0,0,8/29/2022,TRUE,33,702534,73
291550,0,0,10/1/2022,TRUE,48.9,726113,74
376210,0,0,3/1/2021,TRUE,114.2,944679,75
218620,0,0,7/6/2020,TRUE,158.1,962009,76
233860,0,0,10/5/2022,TRUE,776.5,980932,77
1789480,0,0,10/5/2022,TRUE,23.4,1095513,78
291550,0,0,9/30/2021,TRUE,17.9,1175038,79
489830,0,0,11/19/2020,TRUE,259,1199958,80
851850,0,0,11/30/2020,TRUE,37.9,1241408,81
1174180,0,0,1/18/2021,TRUE,30,1518638,82
236390,0,0,4/29/2021,TRUE,413.1,1647791,83
255710,0,0,1/7/2022,TRUE,8.9,203746,84
107410,0,0,6/26/2014,TRUE,69.1,391818,85
413150,2,0,7/5/2019,TRUE,58.1,478483,86
1172620,0,0,6/29/2021,TRUE,466.8,560450,87
1174180,0,0,2/5/2022,TRUE,178.4,576857,88
620980,0,0,7/24/2022,TRUE,33,628967,89
1938090,0,0,11/11/2022,TRUE,124.1,1271336,90
1222140,0,0,9/22/2022,TRUE,12,1193378,91
374320,0,0,12/5/2016,TRUE,152.2,1308919,92
346110,0,0,6/11/2021,TRUE,528.7,1324141,93
602960,0,0,11/25/2022,TRUE,95.5,1336022,94
534380,0,0,2/5/2022,TRUE,27.4,1407009,95
107410,0,0,9/28/2014,TRUE,635.4,1509215,96
1250410,0,0,12/9/2020,TRUE,307.2,1583597,97
578080,0,0,11/24/2017,TRUE,44.8,1614318,98
381210,2,0,5/31/2021,FALSE,197.3,1794409,99
1174180,0,0,1/24/2022,TRUE,38.9,1966317,100
1174180,0,0,9/21/2020,TRUE,172.9,2078256,101
1817190,0,0,11/24/2022,TRUE,9.9,2274649,102
438100,0,0,8/4/2022,FALSE,17,2394932,103
306130,0,0,6/19/2018,TRUE,168.5,2434345,104
4000,0,0,5/26/2022,TRUE,66.6,2469463,105
105600,0,0,7/14/2022,TRUE,153.8,2680373,106
1943950,0,0,12/21/2022,FALSE,21,2686477,107
620980,0,0,1/14/2022,TRUE,60.1,2738784,108
1248130,0,0,8/9/2022,TRUE,35.1,2757562,109
1174180,0,0,11/23/2021,TRUE,298,2761347,110
238960,0,0,7/6/2021,TRUE,10.8,2832559,111
438100,2,0,7/25/2022,FALSE,534.8,2875001,112
306130,0,0,10/22/2020,TRUE,623.9,2967327,113
397540,0,0,3/9/2021,TRUE,123.1,2975317,114
1599340,0,0,3/17/2022,TRUE,657.7,3041860,115
613100,0,0,7/10/2021,TRUE,137.3,3065188,116
291550,0,0,4/18/2022,TRUE,124.9,3203259,117
960090,2,0,3/20/2021,TRUE,39.2,3473951,118
238960,9,0,8/20/2021,FALSE,10.1,3670090,119
1085660,0,0,6/25/2022,TRUE,13.2,3687614,120
107410,0,0,7/14/2015,FALSE,119.1,3851355,121
